Intel Atom x7211E
Intel Atom x7213E
Intel Atom x7425E
Intel Celeron 5805
Intel Celeron 6305
Intel Celeron 7300
Intel Celeron 7305
Intel Celeron 5205U
Intel Celeron 5305U
Intel Celeron G5900
Intel Celeron G5900E
Intel Celeron G5900T
Intel Celeron G5900TE
Intel Celeron G5905
Intel Celeron G5905T
Intel Celeron G5920
Intel Celeron G5925
Intel Celeron 3867U
Intel Celeron 4205U
Intel Celeron 4305U
Intel Celeron 4305UE
Intel Celeron 6305E
Intel Celeron 6600HE
Intel Celeron 7305E
Intel Celeron 7305L
Intel Celeron G4900 
Intel Celeron G4900T
Intel Celeron G4920
Intel Celeron G4930
Intel Celeron G4930E
Intel Celeron G4930T
Intel Celeron G4932E
Intel Celeron G4950
Intel Celeron G6900
Intel Celeron G6900E
Intel Celeron G6900T
Intel Celeron G6900TE
Intel Celeron J4025
Intel Celeron J4125
Intel Celeron N4020
Intel Celeron N4120
Intel Celeron N4500
Intel Celeron N4505
Intel Celeron N5100
Intel Celeron N5105
Intel Core 3 100HL
Intel Core 3 100U
Intel Core 3 100U with IPU
Intel Core 3 100UL
Intel Core 3 N350
Intel Core 3 N355
Intel Core 5 120HL
Intel Core 5 120U
Intel Core 5 120UL
Intel Core 5 130HL
Intel Core 5 130UL
Intel Core 5 210H
Intel Core 5 220H
Intel Core 7 150HL
Intel Core 7 150U
Intel Core 7 150UL
Intel Core 7 160HL
Intel Core 7 160UL
Intel Core 7 240H
Intel Core 7 250H
Intel Core 9 270H
Intel Core i3 14100
Intel Core i3 14100F
Intel Core i3 14100T
Intel Core i3 1005G1
Intel Core i3 10100
Intel Core i3 10100E
Intel Core i3 10100F
Intel Core i3 10100T
Intel Core i3 10100TE
Intel Core i3 10100Y
Intel Core i3 10105
Intel Core i3 10105F
Intel Core i3 10105T
Intel Core i3 10110U
Intel Core i3 10110Y
Intel Core i3 10300
Intel Core i3 10300T
Intel Core i3 10305
Intel Core i3 10305T
Intel Core i3 10320
Intel Core i3 10325
Intel Core i3 11100HE
Intel Core i3 1110G4
Intel Core i3 1115G4
Intel Core i3 1115GRE
Intel Core i3 1120G4
Intel Core i3 1125G4
Intel Core i3 12100
Intel Core i3 12100E
Intel Core i3 12100F
Intel Core i3 12100T
Intel Core i3 12100TE
Intel Core i3 1210U
Intel Core i3 1215U
Intel Core i3 1215UE
Intel Core i3 1215UL
Intel Core i3 1220P
Intel Core i3 1220PE
Intel Core i3 12300
Intel Core i3 12300HE
Intel Core i3 12300HL
Intel Core i3 12300T
Intel Core i3 1305U
Intel Core i3 13100
Intel Core i3 13100E
Intel Core i3 13100F
Intel Core i3 13100T
Intel Core i3 13100TE
Intel Core i3 1315U
Intel Core i3 1315UE
Intel Core i3 1315URE
Intel Core i3 1320PE
Intel Core i3 1320PRE
Intel Core i3 13300HE
Intel Core i3 13300HRE
Intel Core i3 8100
Intel Core i3 8100B
Intel Core i3 8100H
Intel Core i3 8100T
Intel Core i3 8109U
Intel Core i3 8130U
Intel Core i3 8140U
Intel Core i3 8145U
Intel Core i3 8145UE
Intel Core i3 8300
Intel Core i3 8300T
Intel Core i3 8350K
Intel Core i3 9100
Intel Core i3 9100E
Intel Core i3 9100F
Intel Core i3 9100HL
Intel Core i3 9100T
Intel Core i3 9100TE
Intel Core i3 9300
Intel Core i3 9300T
Intel Core i3 9320
Intel Core i3 9350K
Intel Core i3 9350KF
Intel Core i3 N300
Intel Core i3 N305
Intel Core i5 14400
Intel Core i5 14400F
Intel Core i5 14400T
Intel Core i5 14450HX
Intel Core i5 14500
Intel Core i5 14500HX
Intel Core i5 14500T
Intel Core i5 14600
Intel Core i5 14600K
Intel Core i5 14600KF
Intel Core i5 14600T
Intel Core i5 10200H
Intel Core i5 10210U
Intel Core i5 10210Y
Intel Core i5 10300H
Intel Core i5 10310U
Intel Core i5 10310Y
Intel Core i5 1035G1
Intel Core i5 1035G4
Intel Core i5 1035G7
Intel Core i5 10400
Intel Core i5 10400F
Intel Core i5 10400H
Intel Core i5 10400T
Intel Core i5 10500
Intel Core i5 10500E
Intel Core i5 10500H
Intel Core i5 10500T
Intel Core i5 10500TE
Intel Core i5 10505
Intel Core i5 10600
Intel Core i5 10600K
Intel Core i5 10600KF
Intel Core i5 10600T
Intel Core i5 11260H
Intel Core i5 11300H
Intel Core i5 1130G7
Intel Core i5 11320H
Intel Core i5 1135G7
Intel Core i5 11400
Intel Core i5 11400F
Intel Core i5 11400H
Intel Core i5 11400T
Intel Core i5 1140G7
Intel Core i5 1145G7
Intel Core i5 1145G7E
Intel Core i5 1145GRE
Intel Core i5 11500
Intel Core i5 11500H
Intel Core i5 11500HE
Intel Core i5 11500T
Intel Core i5 1155G7
Intel Core i5 11600
Intel Core i5 11600K
Intel Core i5 11600KF
Intel Core i5 11600T
Intel Core i5 1230U
Intel Core i5 1235U
Intel Core i5 1235UL
Intel Core i5 12400
Intel Core i5 12400F
Intel Core i5 12400T
Intel Core i5 1240P
Intel Core i5 1240U
Intel Core i5 12450H
Intel Core i5 12450HX
Intel Core i5 1245U
Intel Core i5 1245UE
Intel Core i5 1245UL
Intel Core i5 12500
Intel Core i5 12500E
Intel Core i5 12500H
Intel Core i5 12500HL
Intel Core i5 12500T
Intel Core i5 12500TE
Intel Core i5 1250P
Intel Core i5 1250PE
Intel Core i5 12600
Intel Core i5 12600H
Intel Core i5 12600HE
Intel Core i5 12600HL
Intel Core i5 12600HX
Intel Core i5 12600K
Intel Core i5 12600KF
Intel Core i5 12600T
Intel Core i5 1334U
Intel Core i5 1335U
Intel Core i5 1335UE
Intel Core i5 13400
Intel Core i5 13400E
Intel Core i5 13400F
Intel Core i5 13400T
Intel Core i5 1340P
Intel Core i5 1340PE
Intel Core i5 13420H
Intel Core i5 13450HX
Intel Core i5 1345U
Intel Core i5 1345UE
Intel Core i5 1345URE
Intel Core i5 13500
Intel Core i5 13500E
Intel Core i5 13500H
Intel Core i5 13500HX
Intel Core i5 13500T
Intel Core i5 13500TE
Intel Core i5 13505H
Intel Core i5 1350P
Intel Core i5 1350PE
Intel Core i5 1350PRE
Intel Core i5 13600
Intel Core i5 13600H
Intel Core i5 13600HE
Intel Core i5 13600HRE
Intel Core i5 13600HX
Intel Core i5 13600K
Intel Core i5 13600KF
Intel Core i5 13600T
Intel Core i5 8200Y
Intel Core i5 8210Y
Intel Core i5 8250U
Intel Core i5 8257U
Intel Core i5 8259U
Intel Core i5 8260U
Intel Core i5 8265U
Intel Core i5 8269U
Intel Core i5 8279U
Intel Core i5 8300H
Intel Core i5 8310Y
Intel Core i5 8350U
Intel Core i5 8365U
